,Transport reactions,Eicosanoid metabolism,"Valine, leucine, and isoleucine metabolism",Propanoate metabolism,Fatty acid oxidation,Tyrosine metabolism,Ubiquinone synthesis,Bile acid biosynthesis,Drug metabolism,Starch and sucrose metabolism,Biotin metabolism,Blood group biosynthesis,Sphingolipid metabolism,Cholesterol metabolism,Glycerophospholipid metabolism,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Oxidative phosphorylation,Fatty acid biosynthesis,N-glycan metabolism,Pyrimidine metabolism,Exchange/demand reactions,Miscellaneous,Heme synthesis,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,O-glycan metabolism,Acylglycerides metabolism,Pool reactions,Acyl-CoA hydrolysis,Carnitine shuttle (cytosolic),Carnitine shuttle (mitochondrial),Fatty acid activation (cytosolic),Glycerolipid metabolism,"Glycine, serine and threonine metabolism",Inositol phosphate metabolism,Nicotinate and nicotinamide metabolism,Glycosphingolipid metabolism,Glycosphingolipid biosynthesis-globo series,Glycosphingolipid biosynthesis-ganglio series,Glycosphingolipid biosynthesis-lacto and neolacto series,Arachidonic acid metabolism,Ether lipid metabolism,Artificial reactions,Steroid metabolism,Leukotriene metabolism,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),Prostaglandin biosynthesis,Butanoate metabolism,Cholesterol biosynthesis 1 (Bloch pathway) ,Cholesterol biosynthesis 2,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),Pyruvate metabolism,Bile acid recycling,Androgen metabolism,Glucocorticoid biosynthesis,Estrogen metabolism,Vitamin D metabolism,Fatty acid biosynthesis (even-chain),Fatty acid elongation (even-chain),Fatty acid biosynthesis (odd-chain),Fatty acid elongation (odd-chain),Fatty acid desaturation (even-chain),Fatty acid desaturation (odd-chain),Fatty acid biosynthesis (unsaturated),Omega-6 fatty acid metabolism,Linoleate metabolism,Omega-3 fatty acid metabolism,Carnitine shuttle (endoplasmic reticular),Fatty acid activation (endoplasmic reticular),Carnitine shuttle (peroxisomal),Beta oxidation of even-chain fatty acids (peroxisomal),Beta oxidation of odd-chain fatty acids (peroxisomal),Beta oxidation of even-chain fatty acids (mitochondrial),Tryptophan metabolism,Beta oxidation of odd-chain fatty acids (mitochondrial),Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),Beta oxidation of phytanic acid (peroxisomal),Beta oxidation of branched-chain fatty acids (mitochondrial),Formation and hydrolysis of cholesterol esters,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Sulfur metabolism,Glutathione metabolism,Pantothenate and CoA biosynthesis,Cysteine and methionine metabolism,Folate metabolism,Galactose metabolism,ROS detoxification,Nucleotide metabolism,Amino sugar and nucleotide sugar metabolism,Porphyrin metabolism,Purine metabolism,Vitamin B6 metabolism,Beta-alanine metabolism,Biopterin metabolism,Thiamine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Lysine metabolism,Fructose and mannose metabolism,Histidine metabolism,Serotonin and melatonin biosynthesis,Pentose and glucuronate interconversions,Aminoacyl-tRNA biosynthesis,Protein assembly,Protein degradation,Nitrogen metabolism,Ascorbate and aldarate metabolism,Lipoic acid metabolism,Vitamin E metabolism,Riboflavin metabolism,Retinol metabolism,Terpenoid backbone biosynthesis,Metabolism of xenobiotics by cytochrome P450,Metabolism of other amino acids,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Chondroitin / heparan sulfate biosynthesis,Heparan sulfate degradation,Keratan sulfate biosynthesis,Keratan sulfate degradation,Chondroitin sulfate degradation,Protein modification,Vitamin B12 metabolism,Isolated,C5-branched dibasic acid metabolism,Heme degradation,Vitamin A metabolism,Phenylalanine metabolism,CoA synthesis,Phosphatidylinositol phosphate metabolism,Urea cycle
284,HMR_0270,,,,RE1516X,,,,,,,,,,,,,,,,EX_leuasplys[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,HMR_0273,,,,RE1517X,,,,,,,,,,,,,,,,EX_leuleutrp[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,HMR_0274,,,,RE1518X,,,,,,,,,,,,,,,,EX_leupro[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,HMR_0277,,,,RE1519X,,,,,,,,,,,,,,,,EX_leuproarg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,HMR_0278,,,,RE2912M,,,,,,,,,,,,,,,,EX_leusertrp[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,HMR_0281,,,,RE2913X,,,,,,,,,,,,,,,,EX_leutrp[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,HMR_0282,,,,RE2914X,,,,,,,,,,,,,,,,EX_leutrparg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,HMR_0287,,,,RE2998M,,,,,,,,,,,,,,,,EX_leutyrtyr[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,HMR_0288,,,,RE2999M,,,,,,,,,,,,,,,,EX_leuval[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,HMR_0291,,,,RE3000M,,,,,,,,,,,,,,,,EX_lgnc[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,HMR_0292,,,,RE3001M,,,,,,,,,,,,,,,,EX_lneldc[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,HMR_0295,,,,RE3003M,,,,,,,,,,,,,,,,EX_lneldccrn[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,HMR_0296,,,,RE3004M,,,,,,,,,,,,,,,,EX_lnlncg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,HMR_0299,,,,RE3005M,,,,,,,,,,,,,,,,EX_lpchol_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,HMR_0300,,,,RE3006M,,,,,,,,,,,,,,,,EX_lysargleu[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,HMR_0303,,,,RE3066X,,,,,,,,,,,,,,,,EX_lyscyshis[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,HMR_0304,,,,RE3072X,,,,,,,,,,,,,,,,EX_lysglnphe[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,HMR_0307,,,,RE3074X,,,,,,,,,,,,,,,,EX_lysgluglu[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,HMR_0308,,,,RE3075X,,,,,,,,,,,,,,,,EX_lyslyslys[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,HMR_0311,,,,RE3106R,,,,,,,,,,,,,,,,EX_lyspheile[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,HMR_0312,,,,RE3110R,,,,,,,,,,,,,,,,EX_lystrparg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,HMR_0317,,,,RE3112R,,,,,,,,,,,,,,,,EX_lystyrile[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,HMR_0318,,,,RE3113R,,,,,,,,,,,,,,,,EX_lysvalphe[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,HMR_0321,,,,RE3119R,,,,,,,,,,,,,,,,EX_lysvaltrp[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,HMR_0322,,,,RE3120R,,,,,,,,,,,,,,,,EX_malcoa[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,HMR_0325,,,,RE3121R,,,,,,,,,,,,,,,,EX_meracmp[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,HMR_0326,,,,RE3122R,,,,,,,,,,,,,,,,EX_metargleu[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,HMR_0329,,,,RE3147R,,,,,,,,,,,,,,,,EX_metasntyr[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,HMR_0330,,,,RE3148C,,,,,,,,,,,,,,,,EX_metglntyr[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,HMR_0335,,,,RE3158X,,,,,,,,,,,,,,,,EX_metglyarg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,HMR_0336,,,,RE3161R,,,,,,,,,,,,,,,,EX_methislys[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,HMR_0339,,,,RE3162R,,,,,,,,,,,,,,,,EX_metmetile[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,HMR_0340,,,,RE3163R,,,,,,,,,,,,,,,,EX_metphearg[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,HMR_0343,,,,RE3164R,,,,,,,,,,,,,,,,EX_mettrpphe[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,HMR_0344,,,,RE3165R,,,,,,,,,,,,,,,,EX_mhista[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,HMR_0347,,,,RE3166R,,,,,,,,,,,,,,,,EX_mlthf[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,HMR_0348,,,,RE3167R,,,,,,,,,,,,,,,,EX_mma[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,HMR_0351,,,,RE3168R,,,,,,,,,,,,,,,,EX_nh4[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,HMR_0352,,,,RE3169R,,,,,,,,,,,,,,,,EX_nicrnt[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,HMR_0355,,,,RE3170R,,,,,,,,,,,,,,,,EX_nrvnc[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,HMR_0356,,,,RE3171R,,,,,,,,,,,,,,,,EX_ocdca[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,HMR_0359,,,,RE3172R,,,,,,,,,,,,,,,,EX_ocdcea[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,HMR_0360,,,,RE3173R,,,,,,,,,,,,,,,,EX_odecrn[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,HMR_0363,,,,RE3174R,,,,,,,,,,,,,,,,EX_pchol2linl_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,HMR_0364,,,,RE3175R,,,,,,,,,,,,,,,,EX_pchol2ole_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,HMR_0367,,,,RE3176R,,,,,,,,,,,,,,,,EX_pchol2ste_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,HMR_0368,,,,RE3624M,,,,,,,,,,,,,,,,EX_pchol_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,HMR_0371,,,,RE3626M,,,,,,,,,,,,,,,,EX_pcholar_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,HMR_0372,,,,SBCOAACOTx,,,,,,,,,,,,,,,,EX_pcholdoc_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,HMR_0375,,,,SEBCOACROT,,,,,,,,,,,,,,,,EX_pcholeic_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,HMR_0376,,,,SEBCOAPET,,,,,,,,,,,,,,,,EX_pcholet_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,HMR_0379,,,,STRDNCCRNt,,,,,,,,,,,,,,,,EX_pcholhep_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,HMR_0380,,,,SUBERCACT,,,,,,,,,,,,,,,,EX_pchollinl_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,HMR_0383,,,,SUBERCROT,,,,,,,,,,,,,,,,EX_pcholmyr_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,HMR_0384,,,,SUCCCROT,,,,,,,,,,,,,,,,EX_pcholn15_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,HMR_0387,,,,SUCCOAPET,,,,,,,,,,,,,,,,EX_pcholn1836_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,HMR_0388,,,,TETPENT3CPT2,,,,,,,,,,,,,,,,EX_pcholn183_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,HMR_0391,,,,TETPENT3CRNt,,,,,,,,,,,,,,,,EX_pcholn19_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,HMR_0392,,,,TETPENT6CPT2,,,,,,,,,,,,,,,,EX_pcholn201_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,HMR_0395,,,,TETPENT6CRNt,,,,,,,,,,,,,,,,EX_pcholn203_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,HMR_0396,,,,TETTET6CPT2,,,,,,,,,,,,,,,,EX_pcholn204_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,HMR_0399,,,,TETTET6CRNt,,,,,,,,,,,,,,,,EX_pcholn205_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,HMR_0400,,,,THEXDDm,,,,,,,,,,,,,,,,EX_pcholn224_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,HMR_0403,,,,TMNDNCCRNt,,,,,,,,,,,,,,,,EX_pcholn2254_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,HMR_0404,,,,TTDCEAc,,,,,,,,,,,,,,,,EX_pcholn225_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,HMR_0407,,,,TTDCRNt,,,,,,,,,,,,,,,,EX_pcholn226_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,HMR_0408,,,,r0309,,,,,,,,,,,,,,,,EX_pcholn24_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,HMR_0411,,,,r0310,,,,,,,,,,,,,,,,EX_pcholole_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,HMR_0412,,,,r0437,,,,,,,,,,,,,,,,EX_pcholpalm_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,HMR_0415,,,,r0440,,,,,,,,,,,,,,,,EX_pcholpalme_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,HMR_0416,,,,r0443,,,,,,,,,,,,,,,,EX_pcholste_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,HMR_0419,,,,r0633,,,,,,,,,,,,,,,,EX_pcresol[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,HMR_0420,,,,r0638,,,,,,,,,,,,,,,,EX_pcrn[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,HMR_0423,,,,r0652,,,,,,,,,,,,,,,,EX_pe12_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,HMR_0424,,,,r0735,,,,,,,,,,,,,,,,EX_pe13_hs[e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
