Gene stable ID,Transcript length (including UTRs and CDS)
ENSG00000114480,2941
ENSG00000105607,1852
ENSG00000131979,2916
ENSG00000198814,2063
ENSG00000106571,8405
ENSG00000102393,1318
ENSG00000178445,3843
ENSG00000185245,2514
ENSG00000282019,829
ENSG00000105220,4125
ENSG00000148180,2657
ENSG00000100983,1909
ENSG00000116062,4265
ENSG00000169919,2199
ENSG00000084754,2943
ENSG00000138029,1997
ENSG00000000971,3962
ENSG00000156515,3605
ENSG00000159399,5626
ENSG00000256269,1505
ENSG00000117305,1570
ENSG00000165704,1395
ENSG00000107521,3703
ENSG00000181523,2705
ENSG00000090339,2967
ENSG00000010404,7580
ENSG00000127415,2174
ENSG00000205403,2159
ENSG00000171105,9463
ENSG00000091409,5618
ENSG00000160255,2807
ENSG00000259207,5941
ENSG00000132470,5896
ENSG00000101384,5940
ENSG00000105639,3955
ENSG00000011201,6265
ENSG00000138030,2411
ENSG00000111057,1413
ENSG00000053747,5671
ENSG00000196878,4014
ENSG00000213398,1496
ENSG00000163069,4248
ENSG00000105486,3125
ENSG00000107798,2496
ENSG00000189221,4015
ENSG00000133895,3155
ENSG00000105976,6635
ENSG00000187098,4479
ENSG00000076242,2494
ENSG00000095002,3115
ENSG00000171100,3412
ENSG00000116984,10547
ENSG00000146085,3811
ENSG00000197535,12225
ENSG00000137474,7483
ENSG00000198951,3696
ENSG00000108784,2475
ENSG00000185920,8662
ENSG00000196712,12362
ENSG00000186575,5950
ENSG00000239672,940
ENSG00000198805,1477
ENSG00000141458,4760
ENSG00000144061,3756
ENSG00000065154,2039
ENSG00000122126,5173
ENSG00000007372,6944
ENSG00000166228,787
ENSG00000175198,2484
ENSG00000131828,3349
ENSG00000124299,1907
ENSG00000108733,2617
ENSG00000124587,3444
ENSG00000112357,1454
ENSG00000152556,3090
ENSG00000102144,4812
ENSG00000044446,5077
ENSG00000102893,5459
ENSG00000277377,3340
ENSG00000197249,3006
ENSG00000008710,14135
ENSG00000118762,5089
ENSG00000143627,3047
ENSG00000262785,2083
ENSG00000083444,2976
ENSG00000140650,2285
ENSG00000109099,1828
ENSG00000105854,1610
ENSG00000064601,1858
ENSG00000143224,1686
ENSG00000131238,4010
ENSG00000171867,2435
ENSG00000184500,3372
ENSG00000171862,8515
ENSG00000284792,3145
ENSG00000150787,872
ENSG00000164751,4169
ENSG00000139197,3170
ENSG00000288217,3170
ENSG00000151552,1507
ENSG00000139687,4793
ENSG00000149489,1878
ENSG00000156313,3053
ENSG00000173432,675
ENSG00000288411,675
ENSG00000163635,7224
ENSG00000172062,1536
ENSG00000275349,1512
ENSG00000277773,1492
ENSG00000125398,3931
ENSG00000198691,7328
ENSG00000101846,6521
ENSG00000070814,4832
ENSG00000120708,2712
ENSG00000100234,4603
ENSG00000111669,1351
ENSG00000140416,1295
ENSG00000137364,3184
ENSG00000165699,8598
ENSG00000114491,6652
ENSG00000126088,1193
ENSG00000188690,1336
ENSG00000111424,4616
ENSG00000015285,1829
ENSG00000158125,5715
ENSG00000136936,1400
ENSG00000101871,6168
ENSG00000072210,3703
ENSG00000108578,2307
ENSG00000178537,1778
ENSG00000124762,2117
ENSG00000188419,5438
ENSG00000166340,3492
ENSG00000023839,5806
ENSG00000204262,6829
ENSG00000100243,2916
ENSG00000104884,4108
ENSG00000151348,3454
ENSG00000160211,2223
ENSG00000117308,1488
ENSG00000170266,2523
ENSG00000196743,3603
ENSG00000115159,5812
ENSG00000010704,5286
ENSG00000159267,6010
ENSG00000108786,4982
ENSG00000133835,2628
ENSG00000027697,2074
ENSG00000077238,3624
ENSG00000276615,2812
ENSG00000197993,2494
ENSG00000186395,2143
ENSG00000128422,1517
ENSG00000186081,2238
ENSG00000198910,5138
ENSG00000119681,8460
ENSG00000007168,5589
ENSG00000110921,2833
ENSG00000116701,2267
ENSG00000227315,2045
ENSG00000227129,2045
ENSG00000234846,2071
ENSG00000184494,2045
ENSG00000228691,2045
ENSG00000204386,3353
ENSG00000223957,2045
ENSG00000234343,2045
ENSG00000074181,8680
ENSG00000083720,3294
ENSG00000158006,3487
ENSG00000175426,5136
ENSG00000261371,6813
ENSG00000178209,14787
ENSG00000143801,2249
ENSG00000166349,6564
ENSG00000143390,3576
ENSG00000142168,895
ENSG00000118046,3293
ENSG00000139531,2394
ENSG00000151090,7402
ENSG00000114062,5274
ENSG00000241635,2361
ENSG00000138376,5478
ENSG00000127980,4369
ENSG00000106992,2192
ENSG00000133805,3806
ENSG00000145020,1997
ENSG00000142192,3583
ENSG00000198931,931
ENSG00000100299,4294
ENSG00000085224,11167
ENSG00000065618,5612
ENSG00000188153,6427
ENSG00000140465,2603
ENSG00000131187,2049
ENSG00000165140,1473
ENSG00000176920,3116
ENSG00000141012,2344
ENSG00000087460,1972
ENSG00000213614,4785
ENSG00000049860,1812
ENSG00000187486,2801
ENSG00000186847,1636
ENSG00000130164,5173
ENSG00000104774,3185
ENSG00000114054,1799
ENSG00000064933,3156
ENSG00000122512,5093
ENSG00000133111,2306
ENSG00000166311,2410
ENSG00000225967,5511
ENSG00000232326,5517
ENSG00000223481,5511
ENSG00000141510,2579
ENSG00000103197,6415
ENSG00000134086,4414
ENSG00000110799,8838
ENSG00000165392,7575
ENSG00000160712,5764
ENSG00000196352,2590
ENSG00000115008,2017
ENSG00000125538,1507
ENSG00000136689,1747
ENSG00000018280,3608
ENSG00000233276,899
ENSG00000169429,1642
ENSG00000164136,2015
ENSG00000232367,2959
ENSG00000227816,2959
ENSG00000168394,2959
ENSG00000224748,2959
ENSG00000230705,2959
ENSG00000224212,2959
ENSG00000226173,2959
ENSG00000206297,2959
ENSG00000115457,1414
ENSG00000146674,2262
ENSG00000136244,1127
ENSG00000106366,3156
ENSG00000026508,5431
ENSG00000085063,7563
ENSG00000242689,1902
ENSG00000149294,2826
ENSG00000110911,4132
ENSG00000168398,4040
ENSG00000049323,5087
ENSG00000243646,1941
ENSG00000142166,6075
ENSG00000169896,4719
ENSG00000171791,7461
ENSG00000087903,3959
ENSG00000112096,14167
ENSG00000104687,3034
ENSG00000109072,1626
ENSG00000123496,1338
ENSG00000095752,2378
ENSG00000162688,7091
ENSG00000162688,7166
ENSG00000162688,7106
ENSG00000162688,6923
ENSG00000188404,2358
ENSG00000171791,5011
ENSG00000105329,2780
ENSG00000163682,750
ENSG00000171428,1799
ENSG00000183044,5586
ENSG00000243989,1422
ENSG00000197894,2594
ENSG00000163485,2901
ENSG00000170425,1735
ENSG00000101444,2150
ENSG00000023330,2375
ENSG00000165092,2096
ENSG00000111275,9561
ENSG00000108602,1639
ENSG00000137124,3028
ENSG00000184254,3469
ENSG00000006534,2811
ENSG00000143149,2696
ENSG00000012779,2519
ENSG00000275565,2504
ENSG00000135046,1401
ENSG00000163399,3670
ENSG00000248098,1742
ENSG00000100739,1301
ENSG00000106605,1074
ENSG00000090013,799
ENSG00000100300,836
ENSG00000167535,2931
ENSG00000133019,8780
ENSG00000180720,1511
ENSG00000169684,3623
ENSG00000170175,2560
ENSG00000283946,2560
ENSG00000093010,2272
ENSG00000095321,2768
ENSG00000184371,3994
ENSG00000164400,788
ENSG00000108342,1509
ENSG00000134716,1879
ENSG00000111012,2372
ENSG00000001630,3155
ENSG00000156136,2506
ENSG00000228716,3919
ENSG00000211448,6367
ENSG00000113578,3748
ENSG00000088832,1514
ENSG00000110195,930
ENSG00000184502,465
ENSG00000128683,3279
ENSG00000159131,3318
ENSG00000262473,1119
ENSG00000183087,2508
ENSG00000115486,7556
ENSG00000109738,3033
ENSG00000147437,1760
ENSG00000176884,3577
ENSG00000178719,1968
ENSG00000164082,3356
ENSG00000168765,1394
ENSG00000084207,741
ENSG00000277656,1060
ENSG00000277897,1094
ENSG00000143774,1084
ENSG00000113161,4530
ENSG00000164120,2619
ENSG00000196639,4711
ENSG00000179546,2835
ENSG00000159110,4284
ENSG00000140443,12235
ENSG00000197081,14044
ENSG00000115594,5183
ENSG00000104432,2016
ENSG00000106348,2611
ENSG00000178035,1651
ENSG00000115221,4641
ENSG00000111144,2140
ENSG00000186529,5053
ENSG00000049130,5441
ENSG00000151623,5792
ENSG00000181019,2521
ENSG00000124588,10187
ENSG00000113389,1753
ENSG00000122884,2844
ENSG00000185624,2437
ENSG00000145730,3156
ENSG00000173599,4017
ENSG00000152270,5995
ENSG00000168291,1507
ENSG00000104368,3062
ENSG00000149782,4469
ENSG00000167711,2284
ENSG00000276838,2284
ENSG00000152952,3665
ENSG00000181222,6751
ENSG00000284832,6749
ENSG00000047315,3785
ENSG00000105852,1191
ENSG00000127948,2446
ENSG00000166794,893
ENSG00000168938,1364
ENSG00000138814,4743
ENSG00000221823,3024
ENSG00000198056,1423
ENSG00000146143,2303
ENSG00000130962,4481
ENSG00000126460,1403
ENSG00000169403,3993
ENSG00000171522,3431
ENSG00000095303,5020
ENSG00000073756,4510
ENSG00000131759,3275
ENSG00000172819,2917
ENSG00000100316,1296
ENSG00000174444,2741
ENSG00000122406,1028
ENSG00000089009,947
ENSG00000147604,1233
ENSG00000148303,887
ENSG00000280858,887
ENSG00000161016,965
ENSG00000142676,1017
ENSG00000197958,634
ENSG00000167526,4498
ENSG00000125691,2706
ENSG00000063177,643
ENSG00000105640,634
ENSG00000108298,737
ENSG00000122026,815
ENSG00000116251,2061
ENSG00000198242,970
ENSG00000265681,859
ENSG00000114391,560
ENSG00000161970,528
ENSG00000131469,505
ENSG00000156482,498
ENSG00000166441,4535
ENSG00000108107,4209
ENSG00000162244,754
ENSG00000071082,1291
ENSG00000144713,2094
ENSG00000109475,441
ENSG00000182899,1234
ENSG00000145592,7573
ENSG00000197756,2992
ENSG00000172809,1145
ENSG00000198918,390
ENSG00000165502,676
ENSG00000205726,5437
ENSG00000109667,1866
ENSG00000070961,6977
ENSG00000130175,2209
ENSG00000165476,5172
ENSG00000172568,2083
ENSG00000168256,2948
ENSG00000026508,2369
ENSG00000026508,2292
ENSG00000026508,4589
ENSG00000026508,484
ENSG00000058668,8918
ENSG00000007520,1210
ENSG00000188505,1975
ENSG00000113658,7013
ENSG00000113658,6937
ENSG00000124222,4937
ENSG00000155330,6845
ENSG00000281289,2368
ENSG00000160285,2995
ENSG00000100036,2585
ENSG00000104343,2268
ENSG00000177054,2283
ENSG00000165983,3777
ENSG00000017260,3690
ENSG00000017260,3401
ENSG00000017260,3386
ENSG00000160194,4676
ENSG00000167674,2267
ENSG00000169764,2136
ENSG00000149591,3786
ENSG00000143365,3055
ENSG00000135218,2094
ENSG00000135218,4598
ENSG00000106070,2050
ENSG00000106070,4785
ENSG00000148057,936
ENSG00000106070,5032
ENSG00000156958,5299
ENSG00000156466,3712
ENSG00000100083,2528
ENSG00000105197,5037
ENSG00000159479,1186
ENSG00000189046,1030
ENSG00000205707,1242
ENSG00000144228,6056
ENSG00000183111,4943
ENSG00000180815,4012
ENSG00000161920,836
ENSG00000164096,2671
ENSG00000188163,1091
ENSG00000152767,1021
ENSG00000143207,2124
ENSG00000203722,1150
ENSG00000175768,706
ENSG00000205593,4891
ENSG00000213563,2455
ENSG00000178750,1149
ENSG00000198355,2102
ENSG00000159216,7274
ENSG00000182670,7712
ENSG00000129422,6160
ENSG00000129422,6256
ENSG00000186951,9965
ENSG00000129422,3996
ENSG00000152234,2258
ENSG00000169129,3722
ENSG00000152234,1945
ENSG00000165629,1101
ENSG00000107679,14010
ENSG00000099624,704
ENSG00000107669,4930
ENSG00000156256,2960
ENSG00000046653,3118
ENSG00000171824,2796
ENSG00000089157,1105
ENSG00000100938,1972
ENSG00000284752,1972
ENSG00000100938,1893
ENSG00000284752,1893
ENSG00000100938,1652
ENSG00000284752,1652
ENSG00000122643,1759
ENSG00000122643,1667
ENSG00000103145,618
ENSG00000103145,845
ENSG00000177192,1664
ENSG00000177192,1664
ENSG00000159199,598
ENSG00000093144,2339
ENSG00000135390,1163
ENSG00000189159,1519
ENSG00000189159,2289
ENSG00000277377,3144
ENSG00000197249,3144
ENSG00000277377,3532
ENSG00000197249,3532
ENSG00000119844,4040
ENSG00000141552,668
ENSG00000141552,918
ENSG00000141552,668
ENSG00000141552,918
ENSG00000141552,687
ENSG00000182196,1491
ENSG00000182196,1339
ENSG00000172954,4888
ENSG00000154518,842
ENSG00000110888,4334
ENSG00000155256,3045
ENSG00000155256,2997
ENSG00000165406,1848
ENSG00000278545,1456
ENSG00000107371,768
ENSG00000116729,2037
ENSG00000107485,3083
ENSG00000147533,2099
ENSG00000169599,898
ENSG00000169599,1058
ENSG00000156384,1438
ENSG00000148719,2967
ENSG00000175471,2337
ENSG00000113810,5116
ENSG00000178104,5676
ENSG00000178104,4677
ENSG00000156675,8185
ENSG00000142409,1940
ENSG00000185133,2215
ENSG00000137871,4902
ENSG00000137871,3666
ENSG00000182718,1444
ENSG00000182718,1444
ENSG00000011114,8445
ENSG00000277222,8430
ENSG00000100162,818
ENSG00000100296,2374
ENSG00000100296,2676
ENSG00000100296,2560
ENSG00000100211,1118
ENSG00000186566,6832
ENSG00000213859,3051
ENSG00000288399,3051
ENSG00000105849,3893
ENSG00000137818,1174
ENSG00000111907,1022
ENSG00000111907,1308
ENSG00000111907,2147
ENSG00000151746,8811
ENSG00000100346,9892
ENSG00000099204,7408
ENSG00000175387,12075
ENSG00000149179,1916
ENSG00000149179,1651
ENSG00000149179,1166
ENSG00000116678,5135
ENSG00000116678,3079
ENSG00000100281,4095
ENSG00000253304,2468
ENSG00000184076,584
ENSG00000170365,1658
ENSG00000124688,1517
ENSG00000100319,945
ENSG00000156983,4743
ENSG00000154723,826
ENSG00000154723,647
ENSG00000124782,7440
ENSG00000124782,8625
ENSG00000124782,5789
ENSG00000154723,589
ENSG00000213214,2609
ENSG00000288422,1452
ENSG00000154723,1179
ENSG00000242114,891
ENSG00000091039,3157
ENSG00000241468,305
ENSG00000241468,323
ENSG00000108469,1749
ENSG00000108469,3710
ENSG00000119392,3302
ENSG00000167863,553
ENSG00000266173,2130
ENSG00000266173,2166
ENSG00000266173,2209
ENSG00000079974,2140
ENSG00000147475,1742
ENSG00000147475,1466
ENSG00000074416,4235
ENSG00000100138,1458
ENSG00000185963,6448
ENSG00000082014,1993
ENSG00000082014,1669
ENSG00000125375,3579
ENSG00000125375,3407
ENSG00000138668,1585
ENSG00000121236,3422
ENSG00000258588,3391
ENSG00000258659,2493
ENSG00000099917,3351
ENSG00000101363,1208
ENSG00000041880,2336
ENSG00000104081,4692
ENSG00000105953,1744
ENSG00000104081,492
ENSG00000104081,630
ENSG00000126247,1428
ENSG00000177600,462
ENSG00000143479,2218
ENSG00000158301,3935
ENSG00000185164,3921
ENSG00000157654,6866
ENSG00000103226,4320
ENSG00000278087,4356
ENSG00000198055,1789
ENSG00000198055,3002
ENSG00000253710,6510
ENSG00000116260,2519
ENSG00000198346,6153
ENSG00000139651,8557
ENSG00000183760,2903
ENSG00000219200,810
ENSG00000276469,7980
ENSG00000277399,9165
ENSG00000203995,4445
ENSG00000198435,2641
ENSG00000127418,3411
ENSG00000127418,3100
ENSG00000069493,935
ENSG00000176845,1690
ENSG00000071051,2371
ENSG00000071051,1795
ENSG00000149273,2059
ENSG00000108395,3622
ENSG00000057294,4229
ENSG00000170004,7361
ENSG00000170004,7385
ENSG00000134222,1584
ENSG00000072310,4253
ENSG00000179222,2701
ENSG00000179222,2875
ENSG00000104824,1633
ENSG00000282947,1633
ENSG00000148908,923
ENSG00000162433,6998
ENSG00000205352,927
ENSG00000079805,3541
ENSG00000079805,3633
ENSG00000079805,3013
ENSG00000089094,5224
ENSG00000276537,1760
ENSG00000276887,1760
ENSG00000275650,1760
ENSG00000167614,1763
ENSG00000085760,2536
ENSG00000148356,3146
ENSG00000148356,2849
ENSG00000011422,1254
ENSG00000011422,1610
ENSG00000138071,2685
ENSG00000163531,2462
ENSG00000175155,5264
ENSG00000215041,5182
ENSG00000288301,5182
ENSG00000122952,807
ENSG00000099785,1376
ENSG00000099785,1192
ENSG00000117411,2629
ENSG00000144802,3787
ENSG00000144283,5777
ENSG00000129667,3599
ENSG00000135678,6636
ENSG00000115524,651
ENSG00000158813,5272
ENSG00000158813,1381
ENSG00000132470,5689
ENSG00000132470,5645
ENSG00000183765,1971
ENSG00000143952,4337
ENSG00000262446,2387
ENSG00000177628,2387
ENSG00000262446,2387
ENSG00000177628,2387
ENSG00000133961,3588
ENSG00000133961,3037
ENSG00000133961,3607
ENSG00000099290,4642
ENSG00000188910,1797
ENSG00000115561,1099
ENSG00000116030,1071
ENSG00000116030,831
ENSG00000188612,809
ENSG00000128000,8687
ENSG00000281601,8687
ENSG00000163785,2942
ENSG00000141736,4792
ENSG00000068745,1746
ENSG00000068745,1185
ENSG00000068745,1185
ENSG00000012171,2755
ENSG00000065361,1027
ENSG00000123191,6016
ENSG00000161999,1934
ENSG00000145425,869
ENSG00000183624,1763
ENSG00000182362,912
ENSG00000176095,4117
ENSG00000112851,6692
ENSG00000154511,2536
ENSG00000196470,2415
ENSG00000185222,1028
ENSG00000185222,699
ENSG00000185222,699
ENSG00000048140,2361
ENSG00000119487,3369
ENSG00000119487,1586
ENSG00000119487,3252
ENSG00000119487,3045
ENSG00000119487,2977
ENSG00000136709,3104
ENSG00000136709,3574
ENSG00000140750,3495
ENSG00000288353,3495
ENSG00000121964,2954
ENSG00000172465,1200
ENSG00000172465,721
ENSG00000148339,3431
ENSG00000148339,3678
ENSG00000142528,4642
ENSG00000118965,6960
ENSG00000117676,2359
ENSG00000281877,2359
ENSG00000180964,1131
ENSG00000071242,4137
ENSG00000196507,1124
ENSG00000133142,1273
ENSG00000133142,1273
ENSG00000214160,1533
ENSG00000162302,3121
ENSG00000121931,1796
ENSG00000115884,3291
ENSG00000111647,2023
ENSG00000198034,1474
ENSG00000122417,7560
ENSG00000108587,1011
ENSG00000108587,1231
ENSG00000111676,4351
ENSG00000159063,1677
ENSG00000137575,2086
ENSG00000137575,1277
ENSG00000137575,2103
ENSG00000137575,2103
ENSG00000144713,1749
ENSG00000144713,1749
ENSG00000109790,3425
ENSG00000147118,3499
ENSG00000075407,7027
ENSG00000116171,2003
ENSG00000116171,894
ENSG00000116171,938
ENSG00000127081,2836
ENSG00000198945,3165
ENSG00000173258,2433
ENSG00000100150,2448
ENSG00000116161,2835
ENSG00000073792,3291
ENSG00000121067,2985
ENSG00000121067,2850
ENSG00000121067,2850
ENSG00000121067,2965
ENSG00000121067,1860
ENSG00000143061,7235
ENSG00000010165,2865
ENSG00000006652,1834
ENSG00000185658,2495
ENSG00000116171,1298
ENSG00000116731,6175
ENSG00000185917,1165
ENSG00000153246,5160
ENSG00000142252,716
ENSG00000142252,576
ENSG00000079393,1778
ENSG00000079393,781
ENSG00000079393,1019
ENSG00000204977,1637
ENSG00000111832,1427
ENSG00000130338,5170
ENSG00000198089,4031
ENSG00000275837,1643
ENSG00000099956,1730
ENSG00000164187,8116
ENSG00000180730,3845
ENSG00000009307,4097
ENSG00000141380,3402
ENSG00000167378,9685
ENSG00000114354,1696
ENSG00000166311,2188
ENSG00000154473,1361
ENSG00000134255,2251
ENSG00000123240,3521
ENSG00000123240,3479
ENSG00000123240,3521
ENSG00000183513,1770
ENSG00000117308,1516
ENSG00000188706,2473
ENSG00000137831,4859
ENSG00000080802,4642
ENSG00000183891,941
ENSG00000152242,5264
ENSG00000145354,5878
ENSG00000163320,4548
ENSG00000186714,3849
ENSG00000144677,4753
ENSG00000205208,3366
ENSG00000255150,1467
ENSG00000188186,605
ENSG00000198554,3722
ENSG00000164294,3731
ENSG00000160336,4061
ENSG00000075790,1157
ENSG00000283852,723
ENSG00000115107,3915
ENSG00000114544,1797
ENSG00000114544,1705
ENSG00000114544,2330
ENSG00000168385,3613
ENSG00000168385,3333
ENSG00000154380,13168
ENSG00000180694,4992
ENSG00000182534,5661
ENSG00000182534,1950
ENSG00000100600,2115
ENSG00000182898,3606
ENSG00000003989,7615
ENSG00000119950,2188
ENSG00000136878,4371
ENSG00000139496,2489
ENSG00000128294,1968
ENSG00000070814,3400
ENSG00000073921,3474
ENSG00000137944,1815
ENSG00000137944,1868
ENSG00000184436,1144
ENSG00000100109,2896
ENSG00000072071,7853
ENSG00000288324,7853
ENSG00000186577,818
ENSG00000186577,792
ENSG00000066629,4064
ENSG00000143942,1309
ENSG00000172531,1389
ENSG00000157110,2874
ENSG00000157110,2974
ENSG00000157110,1341
ENSG00000120051,3256
ENSG00000140006,1687
ENSG00000197961,1563
ENSG00000217128,6388
ENSG00000042088,3722
ENSG00000163468,1815
ENSG00000204604,4405
ENSG00000096696,7812
ENSG00000140157,2099
ENSG00000140157,2280
ENSG00000140157,1412
ENSG00000139842,5821
ENSG00000120438,1878
ENSG00000115661,2868
ENSG00000175216,7172
ENSG00000083845,741
ENSG00000092208,1094
ENSG00000092208,801
ENSG00000178719,1858
ENSG00000146731,2529
ENSG00000104695,1946
ENSG00000198948,5827
ENSG00000109686,5273
ENSG00000171603,4760
ENSG00000130768,1548
ENSG00000135624,1234
ENSG00000198960,1758
ENSG00000141577,3505
ENSG00000102763,3475
ENSG00000028310,2120
ENSG00000100364,8119
ENSG00000134744,5853
ENSG00000133641,2829
ENSG00000176542,13704
ENSG00000156931,4969
ENSG00000163743,759
ENSG00000089063,1541
ENSG00000089063,1735
ENSG00000089063,1472
ENSG00000013563,3008
ENSG00000013563,2249
ENSG00000013563,2665
ENSG00000119403,836
ENSG00000134461,1646
ENSG00000134461,1567
ENSG00000008710,14140
ENSG00000157216,1578
ENSG00000197343,1198
ENSG00000197343,4528
ENSG00000088854,6869
ENSG00000164674,2692
ENSG00000152102,5435
ENSG00000178149,1748
ENSG00000130511,1721
ENSG00000004487,3085
ENSG00000137154,1369
ENSG00000088756,5492
ENSG00000146243,5577
ENSG00000196214,6282
ENSG00000146281,4703
ENSG00000165914,19471
ENSG00000168159,3118
ENSG00000285426,3118
ENSG00000204271,4445
ENSG00000188807,3851
ENSG00000181873,7828
ENSG00000203872,1344
ENSG00000168143,6244
ENSG00000174032,3663
ENSG00000171649,4291
ENSG00000197782,3674
ENSG00000280568,3674
ENSG00000162636,5584
ENSG00000177076,2773
ENSG00000102053,7256
ENSG00000177034,4778
ENSG00000182150,4564
ENSG00000165985,2376
ENSG00000155265,6843
ENSG00000148468,4182
ENSG00000116473,5024
ENSG00000061938,4223
ENSG00000127314,13378
ENSG00000159840,2228
ENSG00000285443,2228
ENSG00000124243,365
ENSG00000183077,1730
ENSG00000016864,1826
ENSG00000010072,3559
ENSG00000101974,6010
ENSG00000051108,1862
ENSG00000171863,732
ENSG00000163110,2979
ENSG00000122068,1342
ENSG00000125868,1853
ENSG00000171155,1636
ENSG00000288368,1636
ENSG00000122545,4350
ENSG00000136861,5985
ENSG00000145014,2245
ENSG00000196459,2842
ENSG00000156374,2236
ENSG00000146592,2001
ENSG00000170791,1670
ENSG00000170791,1684
ENSG00000170791,1670
ENSG00000170791,573
ENSG00000170791,1697
ENSG00000131351,1545
ENSG00000196814,2666
ENSG00000138430,1656
ENSG00000203837,2374
ENSG00000139977,7600
ENSG00000074964,4035
ENSG00000139675,1372
ENSG00000139675,1372
ENSG00000064726,1467
ENSG00000142937,778
ENSG00000188895,1401
ENSG00000188312,8293
ENSG00000089685,2446
ENSG00000089685,2711
ENSG00000187778,1428
ENSG00000183876,3113
ENSG00000185101,2867
ENSG00000089335,2600
ENSG00000178585,3006
ENSG00000110492,951
ENSG00000110492,985
ENSG00000168724,6107
ENSG00000166971,2384
ENSG00000129810,3070
ENSG00000129810,2338
ENSG00000129810,1187
ENSG00000129810,1582
ENSG00000129810,2266
ENSG00000137166,5948
ENSG00000137166,3300
ENSG00000132432,459
ENSG00000063244,3022
ENSG00000180376,3027
ENSG00000203760,750
ENSG00000108433,3059
ENSG00000135916,1889
ENSG00000066926,7695
ENSG00000135916,1888
ENSG00000159692,2467
ENSG00000008517,950
ENSG00000008517,818
ENSG00000008517,733
ENSG00000008517,1056
ENSG00000008517,774
ENSG00000008517,880
ENSG00000175318,3284
ENSG00000168003,2222
ENSG00000168003,1993
ENSG00000176912,844
ENSG00000008517,920
ENSG00000169692,1391
ENSG00000129187,1931
ENSG00000136754,1446
ENSG00000136754,3503
ENSG00000136754,3516
ENSG00000188811,3411
ENSG00000254004,5055
ENSG00000186364,1473
ENSG00000174177,1721
ENSG00000174136,4580
ENSG00000174177,1672
ENSG00000162946,6848
ENSG00000167755,1708
ENSG00000167755,1478
ENSG00000181381,6754
ENSG00000186767,4105
ENSG00000184788,2224
ENSG00000155592,7437
ENSG00000168275,641
ENSG00000103550,6422
ENSG00000148158,7700
ENSG00000274646,711
ENSG00000274950,711
ENSG00000278270,829
ENSG00000170889,713
ENSG00000277359,711
ENSG00000275323,711
ENSG00000274005,711
ENSG00000274626,711
ENSG00000278081,711
ENSG00000277079,711
ENSG00000168003,1904
ENSG00000187244,3414
ENSG00000198556,510
ENSG00000146674,2631
ENSG00000112237,1035
ENSG00000001631,2827
ENSG00000109670,4301
ENSG00000128309,1345
ENSG00000085415,1851
ENSG00000114416,2651
ENSG00000114416,3277
ENSG00000175548,10050
ENSG00000188931,774
ENSG00000253368,1961
ENSG00000184949,10322
ENSG00000168887,4274
ENSG00000156869,2678
ENSG00000184924,1105
ENSG00000187624,1841
ENSG00000283985,1841
ENSG00000100104,4020
ENSG00000128829,5538
ENSG00000196247,5174
ENSG00000002822,2762
ENSG00000002822,2762
ENSG00000182473,4782
ENSG00000178078,1426
ENSG00000241852,2056
ENSG00000137776,4168
ENSG00000197021,1333
ENSG00000138190,3678
ENSG00000124614,588
ENSG00000150401,3032
ENSG00000102710,2923
ENSG00000102781,1634
ENSG00000142208,2710
ENSG00000142208,2866
ENSG00000112514,937
ENSG00000226492,937
ENSG00000136279,1808
ENSG00000278191,2758
ENSG00000110619,2758
