Reaction,Pvalue,Padj,Reject,FC
HMR_3866,0.0,0.0,True,-1.0
HMR_4568,0.0,0.0,True,-1.3750403917886342
HMR_2408,1.0604693834962874e-161,2.6557053791831617e-161,True,-1.0
HMR_2625,1.2139007972723608e-17,1.5696069443989482e-17,True,-4.921052631578984
EX_prpp[e],0.0,0.0,True,-1.0
HMR_2766,2.255312443595366e-164,5.731192939925779e-164,True,1.0
Pe13_HSt1e,0.0,0.0,True,1.0
r0638,0.0,0.0,True,-1.1653130635810158
HMR_1953,2.5564974493783083e-219,7.612334884835816e-219,True,-1.0
HMR_2607,1.1715286766363831e-29,1.7380146949594157e-29,True,-1.0610687022900764
HMR_6054,0.0,0.0,True,-0.8576465559996893
HMR_8452,0.0,0.0,True,20.61582476212278
HMR_6017,0.0,0.0,True,2.0261427817513074
HMR_6297,0.0,0.0,True,179.70597486330047
HMR_2606,1.972061988976308e-29,2.919727957403023e-29,True,1.5085574572127145
5FTHFt2,0.0,0.0,True,-1.198829205996854
HMR_0387,1.2804895723880453e-306,4.725232301129689e-306,True,-1.0
HMR_2262,2.806882432089946e-294,9.968685486089141e-294,True,0.8955726660250243
HMR_6307,0.0,0.0,True,-0.8283733544065084
FAOXC123m,4.287595114460242e-99,8.897063516549935e-99,True,-1.0
HMR_4683,0.0,0.0,True,-0.9506166132641825
C6CRNtcx,0.0,0.0,True,-1.0
HMR_3280,3.242755446918219e-110,6.981097325106819e-110,True,-1.0
HMR_0427,0.0,0.0,True,1.0
FAOXC61C4m,0.0,0.0,True,-0.9780228825417726
HMR_4267,0.0,0.0,True,1.0
HMR_7887,0.0,0.0,True,1.65602483649116
HMR_4028,0.0,0.0,True,-1.3497650384781374
HMR_6321,0.0,0.0,True,-0.950063734444196
r1253,5.612637761718644e-20,7.434461411318096e-20,True,1.0
3HPVSteb,0.0,0.0,True,1.0
PCHOLN201_HSt1e,0.0,0.0,True,1.0
HMR_3329,3.6084563448872e-161,9.013450205046458e-161,True,-0.8674033149171287
HMR_2528,4.320504133535049e-204,1.224282119077216e-203,True,-1.0
HMR_5574,0.0,0.0,True,-1.0747201719037411
HMR_8791,0.0,0.0,True,-0.9999411156269283
PCHOLPALME-HSt1e,0.0,0.0,True,-1.0
HMR_5547,0.0,0.0,True,-12.712858362216046
HMR_1672,6.661113788783281e-39,1.0688424644652251e-38,True,-1.0
HMR_5568,0.0,0.0,True,7.16903986131333
HMR_6035,0.0,0.0,True,-1.3009214233199695
HMR_0599,0.0,0.0,True,-1.0
PELPALM_HSt1e,0.0,0.0,True,1.0
HMR_2520,4.353348720326771e-308,1.6125552149882983e-307,True,-0.8759964570416303
HMR_3408,9.92700626378626e-05,0.00010709178333171481,True,1.0
HMR_0673,0.0,0.0,True,-1.0
HMR_3865,0.0,0.0,True,-1.0
HMR_0192,6.945555152115744e-30,1.0351208848270598e-29,True,1.5936599423631135
HMR_4637,0.0,0.0,True,-0.9998723652885506
HMR_4458,0.0,0.0,True,-0.8217864594193536
PCHOL2STE_HSABCt,0.0,0.0,True,-1.0
HMR_0754,1.4693413912690717e-265,4.9371218766265825e-265,True,-1.0
r0915,0.0,0.0,True,-0.9073465938803963
STRDNCCOAtxc,4.024267259483836e-34,6.202579205832883e-34,True,-1.0
HMR_9577,0.0,0.0,True,-1.0
HMR_4614,0.0,0.0,True,-0.8851501474370852
HMR_4500,0.0,0.0,True,1.0
TUDCA3Sabc,0.0,0.0,True,1.0
HMR_7824,0.0,0.0,True,-73.2567608664365
HMR_1519,2.3634091477528337e-307,8.743420205701771e-307,True,1.0
HMR_7684,8.972728615425747e-214,2.6107343439123574e-213,True,2.3360113373071645
HMR_2533,0.0,0.0,True,-0.8390222417969592
HMR_6368,5.5445576345244336e-269,1.8694538399489748e-268,True,-1.0
SPHMYLN18116_hs_ATPt,0.0,0.0,True,1.0
HMR_3864,0.0,0.0,True,-1.0
HMR_5534,0.0,0.0,True,1.152667944547554
HMR_2530,0.0,0.0,True,-0.8402640264026382
HMR_0680,0.0,0.0,True,-1.0
HMR_3853,0.0,0.0,True,-0.9769923799099058
HMR_0256,0.0,0.0,True,1.0
HMR_9220,0.0,0.0,True,1.0
HMR_2610,3.781671823214593e-55,6.575844772711429e-55,True,-1.1768619370032383
HMR_3278,3.33348136187689e-114,7.245623434940536e-114,True,-1.0
HMR_0421,0.0,0.0,True,-1.0
FAOXC18480x,8.626928756961824e-77,1.6585893213845343e-76,True,-1.0
HMR_4283,0.0,0.0,True,0.8824824382469948
HMR_7843,0.0,0.0,True,0.9473690691549033
HMR_0744,0.0,0.0,True,-1.0
FAOXC181C161m,5.330752500108314e-215,1.5603501323996913e-214,True,-1.0
PCHOLSTE_HSABCt,0.0,0.0,True,-1.0
HMR_0615,0.0,0.0,True,-1.0
HMR_9366,2.3958562018821604e-36,3.7639992876755656e-36,True,1.0
HMR_7691,0.0,0.0,True,-1.0
HMR_4574,2.1402678225750574e-56,3.7349521859114207e-56,True,-1.0668987014439273
HMR_5488,0.0,0.0,True,2.444113849861048
HMR_0794,0.0,0.0,True,1.0
HMR_9065,1.1207189304900461e-45,1.8742616816986162e-45,True,-0.8251708428246017
HMR_3090,6.718108504626057e-156,1.654122514164231e-155,True,-0.8644067796610186
HMR_0161,5.9784459651486875e-40,9.683165659417718e-40,True,1.6592362690065596
HMR_3871,0.0,0.0,True,1.0
HMR_1593,9.92700626378619e-05,0.00010709178333171481,True,1.0
FAOXC81C61m,7.810232339335411e-86,1.554618257761736e-85,True,-1.0
HMR_0422,0.0,0.0,True,-1.0
HMR_3283,1.8219207532444324e-108,3.896516647449771e-108,True,-1.0
HMR_0301,0.0,0.0,True,1.0
